task,split,modality,candidate_id,family,score,status,error,fit_seconds,task_log_samples,task_log_features,task_classes,task_imbalance,task_sparse,task_mod_tabular,task_mod_image,task_mod_text,cand_fam_logreg,cand_fam_linearsvc,cand_fam_sgd,cand_fam_knn,cand_strength,cand_balanced,cand_variant_distance,cand_variant_log
train-breast-cancer,train,tabular,sgd-hinge-a3.59e-07,sgd,0.935672514619883,success,,0.0011053750004066387,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-6.444444444444445,1.0,0.0,0.0
train-breast-cancer,train,tabular,sgd-hinge-a1.29e-06,sgd,0.935672514619883,success,,0.0012014579988317564,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-5.888888888888889,1.0,0.0,0.0
train-breast-cancer,train,tabular,sgd-hinge-a4.64e-06,sgd,0.935672514619883,success,,0.001027292000799207,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-5.333333333333333,1.0,0.0,0.0
train-breast-cancer,train,tabular,sgd-hinge-a1.67e-05,sgd,0.9649122807017544,success,,0.001031416999467183,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.777777777777778,1.0,0.0,0.0
train-breast-cancer,train,tabular,sgd-hinge-a5.99e-05,sgd,0.9532163742690059,success,,0.0010674169989215443,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.222222222222222,1.0,0.0,0.0
train-breast-cancer,train,tabular,sgd-hinge-a0.000215,sgd,0.9532163742690059,success,,0.0012306670014368137,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.6666666666666665,1.0,0.0,0.0
train-breast-cancer,train,tabular,sgd-hinge-a0.000774,sgd,0.9473684210526315,success,,0.0013036660002399003,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.1111111111111107,1.0,0.0,0.0
train-breast-cancer,train,tabular,sgd-hinge-a0.00278,sgd,0.9473684210526315,success,,0.0012785419985448243,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.5555555555555554,1.0,0.0,0.0
train-breast-cancer,train,tabular,sgd-hinge-a0.01,sgd,0.9590643274853801,success,,0.0011697499994625105,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,1.0,0.0,0.0
train-breast-cancer,train,tabular,sgd-log_loss-a1e-07,sgd,0.9590643274853801,success,,0.0012642089986911742,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-7.0,1.0,0.0,1.0
train-breast-cancer,train,tabular,sgd-log_loss-a3.59e-07,sgd,0.9590643274853801,success,,0.0012205000002722954,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-6.444444444444445,1.0,0.0,1.0
train-breast-cancer,train,tabular,sgd-log_loss-a1.29e-06,sgd,0.9590643274853801,success,,0.001136290999056655,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-5.888888888888889,1.0,0.0,1.0
train-breast-cancer,train,tabular,sgd-log_loss-a4.64e-06,sgd,0.9298245614035088,success,,0.0014683749996038387,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-5.333333333333333,1.0,0.0,1.0
train-breast-cancer,train,tabular,sgd-log_loss-a1.67e-05,sgd,0.9590643274853801,success,,0.0013931670000602026,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.777777777777778,1.0,0.0,1.0
